,0
85,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/grupos-populacionais-especificos/9292-populacao-jovem.html
86,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9102-previsao-e-acompanhamento-de-safras-nos-estados-de-sao-paulo-parana-e-santa-catarina-e-no-distrito-federal-safras-1986-1987-a-1999-2000.html
87,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/19120-primeiros-resultados-das-pesquisas-trimestrais-do-abate-de-animais-do-leite-do-couro-e-da-producao-de-ovos-de-galinha.html
88,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9119-producao-agricola-municipal-cereais-leguminosas-e-oleaginosas.html
89,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9117-producao-agricola-municipal.html
90,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9105-producao-da-extracao-vegetal-e-da-silvicultura.html
91,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9107-producao-da-pecuaria-municipal.html
92,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9216-estatistica-da-producao-pecuaria.html
93,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-macroeconomicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html
94,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/19068-prognostico-da-safra.html
95,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/precos-e-custos/9286-programa-de-comparacao-internacional-na-america-do-sul.html
96,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/caracteristicas-gerais-da-populacao/9109-projecao-da-populacao.html
97,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/componentes-da-dinamica-demografica-e-estatisticas-vitais/reflexoes-sobre-os-deslocamentos-populacionais-no-brasi9159ovo-portal/estatisticas/demografia-e-estatisticas-sociais/populacao/componentes-da-dinamica-demografica-e-estatisticas-vitais/reflexoes-sobre-os-deslocamentos-populacionais-no-brasil.html
98,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/componentes-da-dinamica-demografica-e-estatisticas-vitais/9232-relacoes-entre-as-alteracoes-historicas-na-dinamica-demografica-brasileira-e-os-impactos-decorrentes-do-processo-de-envelhecimento-da-populacao.html
99,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/caracteristicas-gerais-da-populacao/9114-retroprojecao-da-populacao.html
100,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/administracao-publica-participacao-politica-e-social/participacao-politica-e-conexoes-sociais/9092-sindicatos-indicadores-sociais.html
101,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/caracteristicas-gerais-da-populacao/9221-sintese-de-indicadores-sociais.html
102,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-macroeconomicas/contas-nacionais/9052-sistema-de-contas-nacionais-brasil.html
103,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/cultura-recreacao-e-esporte/9388-indicadores-culturais.html
104,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/precos-e-custos/9270-sistema-nacional-de-pesquisa-de-custos-e-indices-da-construcao-civil.html
105,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/componentes-da-dinamica-demografica-e-estatisticas-vitais/9125-tabuas-abreviadas-de-mortalidade.html
106,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/componentes-da-dinamica-demografica-e-estatisticas-vitais/9126-tabua-completa-de-mortalidade.html
107,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9121-uso-de-agrotoxicos-no-estado-do-parana.html
108,https://www.ibge.gov.br/estatisticas-novoportal/economicas/8939-informacoes-sobre-organizacao-do-territorio/np-analises-do-territorio/np-a-geografia-da-cana-de-acucar.html
109,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5784-informacoes-sobre-organizacao-do-territorio/np-analises-do-territorio/np-a-geografia-do-cafe.html
110,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5788-informacoes-sobre-organizacao-do-territorio/np-tipologias-do-territorio/np-aglomerados-subnormais.html
111,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5819-cartas-e-mapas/np-mapas-do-brasil/np-informacoes-ambientais/np-recursos-naturais/np-geologia/np-amazonia-legal.html
112,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5841-cartas-e-mapas/np-mapas-do-brasil/np-informacoes-ambientais/np-estudos-ambientais/np-estudos-integrados/np-area-de-aplicacao-da-lei-n-11-428-de-2006.html
113,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5761-informacoes-sobre-organizacao-do-territorio/np-estrutura-territorial/np-areas-dos-municipios.html
114,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5789-informacoes-sobre-organizacao-do-territorio/np-tipologias-do-territorio/np-areas-urbanizadas.html
115,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5782-informacoes-sobre-organizacao-do-territorio/np-divisao-regional/np-arranjos-populacionais-e-concentracoes-urbanas-do-brasil.html
116,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6364-atlas/np-tematicos/np-atlas-das-representacoes-literarias-de-regioes-brasileiras-brasil-meridional.html
117,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6365-atlas/np-tematicos/np-atlas-de-saneamento.html
118,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6361-atlas/np-tematicos/np-atlas-do-censo-demografico.html
119,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6362-atlas/np-tematicos/np-atlas-do-espaco-rural-brasileiro.html
120,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6366-atlas/np-tematicos/np-atlas-geografico-das-zonas-costeiras-e-oceanicas-do-brasil.html
121,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6633-atlas/np-nacional/np-atlas-geografico-escolar.html
122,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6363-atlas/np-tematicos/np-atlas-nacional-de-comercio-e-servico.html
123,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6360-atlas/np-nacional/np-atlas-nacional-do-brasil.html
124,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6384-metodos-e-outros-documentos-de-referencia/np-outros-documentos-tecnicos/np-avaliacao-planialtimetrica-estudos-de-caso.html
125,https://www.ibge.gov.br/estatisticas-novoportal/economicas/6327-informacoes-sobre-posicionamento-geodesico/np-servicos-para-posicionamento-geodesico/np-banco-de-dados-geodesicos.html
126,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5759-cartas-e-mapas/np-bases-cartograficas-continuas/np-brasil.html
127,https://www.ibge.gov.br/estatisticas-novoportal/economicas/5807-cartas-e-mapas/np-bases-cartograficas-continuas/np-estados.html
